
2023/09/09 (21:07:05) | ===> btop++ v.1.2.13
2023/09/09 (21:07:05) | INFO: Logger set to DEBUG
2023/09/09 (21:07:05) | DEBUG: Using locale en_PH.UTF-8
2023/09/09 (21:07:05) | INFO: Running on /dev/pts/3
2023/09/09 (21:07:05) | DEBUG: Loading theme file: /home/dmne/.config/btop/themes/HotPurpleTrafficLight.theme

2023/09/10 (11:17:01) | ===> btop++ v.1.2.13
2023/09/10 (11:17:01) | INFO: Logger set to DEBUG
2023/09/10 (11:17:01) | DEBUG: Using locale en_PH.UTF-8
2023/09/10 (11:17:01) | INFO: Running on /dev/pts/2
2023/09/10 (11:17:01) | DEBUG: Loading theme file: /home/dmne/.config/btop/themes/HotPurpleTrafficLight.theme

2023/09/10 (13:18:02) | ===> btop++ v.1.2.13
2023/09/10 (13:18:02) | INFO: Logger set to DEBUG
2023/09/10 (13:18:02) | DEBUG: Using locale en_PH.UTF-8
2023/09/10 (13:18:02) | INFO: Running on /dev/pts/2
2023/09/10 (13:18:02) | DEBUG: Loading theme file: /home/dmne/.config/btop/themes/HotPurpleTrafficLight.theme

2023/09/11 (11:42:30) | ===> btop++ v.1.2.13
2023/09/11 (11:42:30) | INFO: Logger set to DEBUG
2023/09/11 (11:42:30) | DEBUG: Using locale en_PH.UTF-8
2023/09/11 (11:42:30) | INFO: Running on /dev/pts/1
2023/09/11 (11:42:30) | DEBUG: Loading theme file: /home/dmne/.config/btop/themes/HotPurpleTrafficLight.theme

2023/09/11 (13:08:13) | ===> btop++ v.1.2.13
2023/09/11 (13:08:13) | INFO: Logger set to DEBUG
2023/09/11 (13:08:13) | DEBUG: Using locale en_PH.UTF-8
2023/09/11 (13:08:13) | INFO: Running on /dev/pts/1
2023/09/11 (13:08:13) | DEBUG: Loading theme file: /home/dmne/.config/btop/themes/HotPurpleTrafficLight.theme

2023/09/11 (22:06:51) | ===> btop++ v.1.2.13
2023/09/11 (22:06:51) | INFO: Logger set to DEBUG
2023/09/11 (22:06:51) | DEBUG: Using locale en_PH.UTF-8
2023/09/11 (22:06:51) | INFO: Running on /dev/pts/1
2023/09/11 (22:06:51) | DEBUG: Loading theme file: /home/dmne/.config/btop/themes/HotPurpleTrafficLight.theme

2023/09/12 (11:28:58) | ===> btop++ v.1.2.13
